"ID","Name","Location","Phone","Email"
"322","Diane Delaware","Yazoo City, MS","668-746-1401","yazoocitymayor@yazoocityms.us"
"323","Carlos A. Gimenez","Miami-Dade, FL","305-375-5071","cgimenez@miamidade.gov"
"324","Lenny Curry","Jacksonville, FL","904-630-1776","mayorlennycurry@coj.net"
"325","Francis X. Suarez","Miami, FL","305-250-5300","fsuarez@miamigov.com"
"326","Jane Castor","Tampa, FL","813-274-8251","jane.castor@tampagov.net"
"327","Buddy Dyer","Orlando, FL","407-579-5952","buddy.dyer@cityoforlando.net"
"328","Rick Kriseman","St. Petersburg, FL","727-893-7201","mayor@stpete.org"
"329","Carlos A. Hernandez","Hialeah, FL","305-883-5820","mayorchernandez@hialeahfl.gov"
"330","Gregory J. Oravec","Port St. Lucie, FL","772-871-5159","mayor@cityofpsl.com"
"331","John E. Dailey","Tallahassee, FL","850-891-2000","mayor@talgov.com"
"332","Joe Coviello","Cape Coral, FL","239-574-0436","jcoviell@capecoral.net"
"333","Dean J. Trantalis","Fort Lauderdale, FL","954-828-5003","dtrantalis@fortlauderdale.gov"
"334","Frank C. Ortis","Pembroke Pines, FL","954-435-6505","fortis@ppines.com"
"335","Josh Levy","Hollywood, FL","954-921-3321","jlevy@hollywoodfl.org"
"336","Wayne M. Messam","Miramar, FL","954-602-3151","wmessam@miramarfl.gov"
"337","Lauren Poe","Gainesville, FL","352-334-5015","mayor@cityofgainesville.org"
"338","Scott Brook","Coral Springs, FL","954-344-5911","sbrook@coralsprings.org"
"339","Frank Hibbard","Clearwater, FL","727-562-4042","frank.hibbard@myclearwater.com"
"340","William Capote","Palm Bay, FL","321-952-3414","mayor@palmbayflorida.org"
"341","Oliver G. Gilbert III","Miami Gardens, FL","305-914-9170","ogilbert@miamigardens-fl.gov"
"342","Rex Hardin","Pompano Beach, FL","954-786-4623","rex.hardin@copbfl.com"
"343","Keith A. James","West Palm Beach, FL","561-822-1400","kjames@wpb.org"
"344","H 'Bill' William Mutz","Lakeland, FL","863-834-6005","bill.mutz@lakelandgov.net"
"345","Judith 'Judy' Paul","Davie, FL","954-797-1030","jpaul@davie-fl.gov"
"346","Scott Singer","Boca Raton, FL","561-393-7708","ssinger@myboca.us"
"347","Michael J. Ryan","Sunrise, FL","954-746-3250","mryan@sunrisefl.gov"
"348","Lynn Stoner","Plantation, FL","954-797-2221","mayor@plantation.org"
"349","Heidi K. Herzberg","Deltona, FL","386-878-8860","hherzberg@deltonafl.gov"
"350","Dan Gelber","Miami Beach, FL","305-673-7030","dangelber@miamibeachfl.gov"
"351","Milissa Holland","Palm Coast, FL","386-986-3710","mholland@palmcoastgov.com"
"352","Louis 'Woody' L. Brown","Largo, FL","727-587-6702","wobrown@largo.com"
"353","Kathy Meehan","Melbourne, FL","321-984-7588","city.hall@mlbfl.org"
"354","Randall P. Henderson Jr.","Fort Myers, FL","239-321-7020","mayorhenderson@cityftmyers.com"
"355","Bill Ganz","Deerfield Beach, FL","954-480-4263","bganz@deerfield-beach.com"
"356","Steven B. Grant","Boynton Beach, FL","561-742-6010","grants@bbfl.us"
"357","Jose A. Alvarez","Kissimmee, FL","407-518-2318","jaalvarez@kissimmee.org"
"358","Ken Thurston","Lauderhill, FL","954-730-3018","kthurston@lauderhill-fl.gov"
"359","Daniel J. Stermer","Weston, FL","954-385-2000","dstermer@westonfl.org"
"360","Steven D. Losner","Homestead, FL","305-247-1801","slosner@cityofhomestead.com"
"361","Shelly Petrolia","Delray Beach, FL","561-243-7010","petrolia@mydelraybeach.com"
"362","Derrick L. Henry","Daytona Beach, FL","386-671-8010","henryd@codb.us"
"363","Debbie McDowell","North Port, FL","941-429-7000","dmcdowell@cityofnorthport.com"
"364","Michelle J. Gomez","Tamarac, FL","954-597-3460","michelle.gomez@tamarac.org"
"365","Todd Wodraska","Jupiter, FL","561-741-2214","toddw@jupiter.fl.us"
"366","Anne Gerwig","Wellington, FL","561-791-4125","agerwig@wellingtonfl.gov"
"367","Donald O. Burnette","Port Orange, FL","386-295-5760","dburnette@port-orange.org"
"368","Philippe Bien-Aime","North Miami, FL","305-895-9815","pbien-aime@northmiamifl.gov"
"369","Juan Carlos Bermudez","Doral, FL","305-593-6725","mayor@cityofdoral.com"
"370","Lou Sarbone","Coconut Creek, FL","(954) 973-6760","lsarbone@coconutcreek.net"
"371","Kent Guinn","Ocala, FL","352-401-3977","kguinn@ocalafl.org"
"372","Jeff Triplett","Sanford, FL","407-688-5001 x5201","jeff.triplett@sanfordfl.gov"
"373","Tommy Ruzzano","Margate, FL","954-935-5326","truzzano@margatefl.com"
"374","Jen Ahearn-Koch","Sarasota, FL","941-954-4115","jen.ahearn-koch@sarasotafl.gov"
"375","Wayne H. Poston","Bradenton, FL","941-932-9450","wayne.poston@cityofbradenton.com"
"376","Peter Simmons","Bonita Springs, FL","239-949-6262","peter.simmons@cityofbonitasprings.org"
"377","Carl W. Woods","Palm Beach Gardens, FL","(561) 799-4105","cwoods@pbgfl.com"
"378","Nathan Blackwell","St. Cloud, FL","407-957-8401","nathan.blackwell@stcloud.org"
"379","Bryan Nelson","Apopka, FL","407-703-1601","bnelson@apopka.net"
"380","Sandra 'Sandy' Lee Bradbury","Pinellas Park, FL","727-369-0700","sbradbury@pinellas-park.com"
"381","Grover C. Robinson IV","Pensacola, FL","850-435-1626","mayorrobinson@cityofpensacola.com"
"382","Raul J. Valdes-Fauli","Coral Gables, FL","305-460-5220","rvaldes-fauli@coralgables.com"
"383","Rusty Johnson","Ocoee, FL","407-554-7110","rjohnson@ocoee.org"
"384","Walt Johnson","Titusville, FL","321-383-5775","walt.johnson@titusville.com"
"385","Linda Hudson","Fort Pierce, FL","561-460-2200","lhudson@city-ftpierce.com"
"386","Anthony F. DeFillipo","North Miami Beach, FL","305-948-2986","anthony.defillipo@citynmb.com"
"387","Matthew Sparks","Oakland Park, FL","954-560-6384","matthews@oaklandparkfl.gov"
"388","John Rees","Winter Garden, FL","407-656-7372","jrees@wintergarden-fl.gov"
"389","Tim Meerbott","Cutler Bay, FL","305-234-4262","tmeerbott@cutlerbay-fl.gov"
"390","Ana M. Ziade","North Lauderdale, FL","954-724-7056","amziade@nlauderdale.org"
"391","Patricia Bates","Altamonte Springs, FL","407-571-8031","pbates@altamonte.org"
"392","Bill Partington","Ormond Beach, FL","386-871-8232","bill.partington@ormondbeach.org"
"393","Bradley T. Dantzler","Winter Haven, FL","863-289-9947","bdantzler@mywinterhaven.com"
"394","Megan Sladek","Oviedo, FL","407-971-5606","msladek@cityofoviedo.net"
"395","Joel Flores","Greenacres, FL","561-642-2017","jflores@greenacresfl.gov"
"396","Fred Pinto","Royal Palm Beach, FL","561-790-5103","mayor@royalpalmbeach.com"
"397","Joy Cooper","Hallandale Beach, FL","954-457-1318","jcooper@hallandalebeachfl.gov"
"398","Rick A. Lott","Plant City, FL","813-659-4200","rlott@plantcitygov.com"
"399","Pam Triolo","Lake Worth, FL","561-586-1730","ptriolo@lakeworthbeachfl.gov"
"400","Enid Weisman","Aventura, FL","305-466-8900","eweisman@cityofaventura.com"
"401","Charles Lacey","Winter Springs, FL","407-327-5956","clacey@winterspringsfl.org"
"402","Greg Brudnicki","Panama City, FL","850-872-3002","mayor-comm@pcgov.org"
"403","Gail Ash","Clermont, FL","352-241-7358","gash@clermontfl.org"
"404","Julie Ward Bujalski","Dunedin, FL","727-298-3001","jbujalski@dunedinfl.net"
"405","Hazelle Rogers","Lauderdale Lakes, FL","(954) 535-2706","hazeller@lauderdalelakes.org"
"406","Greg Ross","Cooper City, FL","954-434-4300 ext. 260","mayor_ross@coopercityfl.org"
"407","Ronnie L. Felder","Riviera Beach, FL","561-845-4095","rfelder@rivierabch.com"
"408","Christine Hunschofsky","Parkland, FL","954-757-4127","chunschofsky@cityofparkland.org"
"409","Robert F. Apgar","DeLand, FL","(386) 804-6170","apgarr@deland.org"
"410","Lori Lewellen","Dania Beach, FL","954-924-6800","llewellen@daniabeachfl.gov"
"411","Manny Cid","Miami Lakes, FL","305-364-6100","cidm@miamilakes-fl.gov"
"412","Teri Johnston","Key West, FL","305-809-3840","tjohnston@cityofkeywest-fl.gov"
"413","Bill Barnett","Naples, FL","","mayorbill@naplesgov.com"
"414","Joseph M Corradino","Pinecrest, FL","",""
"415","Yioset De La Cruz","Hialeah Gardens, FL","305-558-4114","ydelacruz@cityofhialeahgardens.com"
"416","Tony Young","Vero Beach, FL","772-978-4700","awyoung@covb.org"
"417","Justin S. Flippen J.D.","Wilton Manors, FL","","jflippen@wiltonmanors.com"
"418","Crystal Wagar","Miami Shores Village, FL","786-501-5595","crystalwagar@msvfl.gov"
"419","Brent Latham","North Bay Village, FL","305-756-7171","blatham@nbvillage.com"
"420","Kevin Ruane","Sanibel, FL","239-472-3700","pamela.smith@mysanibel.com"
"421","Ashira Mohammed","Pembroke Park, FL","954-966-4600","amohammed@townofpembrokepark.com"
"422","Gabriel Groisman","Bal Harbour Village, FL","305-866-4633","mayor@balharbourfl.gov"
"423","Claudia V. Cubillos","El Portal, FL","305-778-4199","mayorcubillos@villageofelportal.org"
"424","Fred Spencer Deno IV","Virginia Gardens, FL","305-986-3017","mayor@virginiagardens-fl.gov"
"425","Keisha Lance Bottoms","Atlanta, GA","404-330-6100","kljohnson@atlantaga.gov"
"426","Hardie Davis Jr.","Augusta, GA","706-821-1831","mayordavis@augustaga.gov"
"427","B. H. 'Skip' Henderson III","Columbus, GA","706-225-4712","skiphenderson@columbusga.org"
"428","Robert A.B. Reichert","Macon, GA","478-751-7170","reichert@maconbibb.us"
"429","Van R. Johnson II","Savannah, GA","912-651-6444","vjohnson01@savannahga.gov"
"430","Kelly Girtz","Athens, GA","706-613-3010","kelly.girtz@accgov.com"
"431","Russell 'Rusty' K. Paul","Sandy Springs, GA","770-730-5600","rpaul@sandyspringsga.gov"
"432","William 'Bill' Edwards","South Fulton, GA","470-809-7721","william.edwards@cityofsouthfultonga.gov"
"433","Lori Henry","Roswell, GA","770-594-6288","mayorhenry@roswellgov.com"
"434","Michael Bodker","Johns Creek, GA","678-512-3313","mbodker@comcast.net"
"435","Georgia Lord","Goodyear, AZ","623-882-7776","georgia.lord@goodyearaz.gov"
"436","Randy Toms","Warner Robins, GA","912-929-1115","rtoms@wrga.gov"
"437","Bo Dorough","Albany, GA","229-888-2757","bdorough@albanyga.gov"
"438","Jim Gilvin","Alpharetta, GA","678-297-6020","jgilvin@alpharetta.ga.us"
"439","Steve 'Thunder' Tumlin","Marietta, GA","770-528-0595","stumlin@mariettaga.gov"
"440","Derek Norton","Smyrna, GA","770-434-6600","dnorton@smyrnaga.gov"
"441","Scott James Matheson","Valdosta, GA","229-259-3500","sjmatheson@valdostacity.com"
"442","Jason Lary","Stonecrest, GA","770-224-0200","jlary@stonecrestga.gov"
"443","John Arthur Ernst Jr.","Brookhaven, GA","404-637-0710","john.ernst@brookhavenga.gov"
"444","Lynn Deutsch","Dunwoody, GA","678-382-6700","lynn.deutsch@dunwoodyga.gov"
"445","Mike Mason","Peachtree Corners, GA","678-691-1200","mmason@peachtreecornersga.org"
"446","C. Danny Dunagan Jr.","Gainesville, GA","770-535-6860","ddunagan@gainesville.org"
"447","Keith Brady","Newnan, GA","770-253-2682  x 206","kbrady@cityofnewnan.org"
"448","Joe Lockwood","Milton, GA","678-242-2484","joe.lockwood@cityofmiltonga.us"
"449","Bill Collins","Rome, GA","706-291-0208","bcollins@romega.us"
"450","Vanessa Fleisch","Peachtree City, GA","770-487-7657","vfleisch@peachtree-city.org"
"451","Deana Holiday Ingraham","East Point, GA","404-270-7093","mayor@eastpointcity.org"
"452","Rochelle Robinson","Douglasville, GA","678-449-3000","robinsonr@douglasvillega.gov"
"453","Derek Easterling","Kennesaw, GA","770-424-8274","deasterling@kennesaw-ga.gov"
"454","Dennis Mock","Dalton, GA","706-278-9500","dmock@cityofdalton-ga.gov"
"455","Allen Brown","Hinesville, GA","912-876-3564",""
"456","Jonathan McCollar","Statesboro, GA","912-764-5468","jonathan.mccollar@statesboroga.gov"
"457","Jim Thornton","LaGrange, GA","706-883-2010","mayor@lagrangega.org"
"458","Vince R. Williams","Union City, GA","770-515-7892","vwilliams@unioncityga.org"
"459","Elizabeth Carr-Hurst","Fairburn, GA","770-964-2244 x100","mayorhurst@fairburn.com"
"460","Kirk Caldwell","Honolulu, HI","808-768-4141","mayor@honolulu.gov"
"461","Harry Kim","Hilo, HI","808-961-8211","cohmayor@hawaiicounty.gov"
"462","Michael Victorino","Maui, HI","808-270-7855","mayors.office@co.maui.hi.us"
"463","Derek S.K. Kawakami","Kauai, HI","808-241-4900","mayor@kauai.gov"
"464","Lauren McLean","Boise, ID","208-384-4422","mayor@cityofboise.org"
"465","Robert E. Simison","Meridian, ID","208-489-0529","rsimison@meridiancity.org"
"466","Debbie Kling","Nampa, ID","208-468-5401","debbie.kling@gmail.com"
"467","Rebecca Casper","Idaho Falls, ID","208-612-8235","mayor@idahofallsidaho.gov"
"468","Garret L. Nancolas","Caldwell, ID","208-455-3000","cityhall@ci.caldwell.id.us"
"469","Brian Blad","Pocatello, ID","208-234-6163","mayor@pocatello.us"
"470","Steve Widmyer","Coeur d'Alene, ID","208-666-5754","mayor@cdaid.org"
"471","Suzanne Hawkins","Twin Falls, ID","208-735-7245","shawkins@tfid.org"
"472","Michael Collins","Lewiston, ID","208-746-3671","mcollins@cityoflewiston.org"
"473","Neil Bradshaw","Ketchum, ID","208-726-7803","nbradshaw@ketchumidaho.org"
"474","Lori E. Lightfoot","Chicago, IL","312-744-5000","alyssa.fisher@cityofchicago.org"
"475","Richard C. Irvin","Aurora, IL","630-256-3010","mayorsoffice@aurora-il.org"
"476","Steve Chirico","Naperville, IL","630-420-6018","mayor@naperville.il.us"
"477","Bob O'Dekirk","Joliet, IL","815-724-3700","rodekirk@jolietcity.org"
"478","Thomas P. McNamara","Rockford, IL","779-348-7300","thomas.mcnamara@rockfordil.gov"
"479","James O. Langfelder","Springfield, IL","217-789-2200","jim.langfelder@springfield.il.us"
"480","David Kaptain","Elgin, IL","847-931-6100","mayor@cityofelgin.org"
"481","Jim Ardis","Peoria, IL","309-494-8519","jardis@peoriagov.org"
"482","Deborah Frank Feinen","Champaign, IL","217-403-8720","deb.feinen@champaignil.gov"
"483","Sam Cunningham","Waukegan, IL","847-599-2510","mayor.cunningham@waukeganil.gov"
"484","Larry Dominick","Cicero, IL","708-656-3600x211","larry@thetownofcicero.com"
"485","Tari Renner","Bloomington, IL","309-434-2210","trenner@iwu.edu"
"486","Thomas W. Hayes","Arlington Heights, IL","847-259-6337","thayes@vah.com"
"487","Roger C. Claar","Bolingbrook, IL","630-226-8412","nhigens@bolingbrook.com"
"488","Stephen H. Hagerty","Evanston, IL","847-866-2979","shagerty@cityofevanston.org"
"489","Tom Dailly","Schaumburg, IL","(847) 923-4700","tdailly@schaumburg.com"
"490","Julie Moore-Wolfe","Decatur, IL","217-424-2804","jmwolfe@decaturil.gov"
"491","James W. Schwantz","Palatine, IL","847-359-9007","jschwantz@palatine.il.us"
"492","George C. Van Dusen","Skokie, IL","847-933-8269","info@skokie.org"
"493","Matthew J. Bogusz","Des Plaines, IL","847-391-5301","mbogusz@desplaines.org"
"494","Keith Pekau","Orland Park, IL","708-403-6167","kpekau@orlandpark.org"
"495","Jacob C. Vandenberg","Tinley Park, IL","708-444-5021","jvandenberg@tinleypark.org"
"496","Sandra Bury","Oak Lawn, IL","708-636-4400","sbury@oaklawn-il.gov"
"497","Robert J. Lovero","Berwyn, IL","708-788-2660","rlovero@ci.berwyn.il.us"
"498","Chris Koos","Normal, IL","309-454-9503","mayor@normal.org"
"499","Arlene A. Juracek","Mount Prospect, IL","847-392-6000","ajuracek@mountprospect.org"
"500","Philip J. Suess","Wheaton, IL","630-260-2014","psuess@wheaton.il.us"
"501","Anan Abu-Taleb","Oak Park, IL","708-358-5796","mayoranan@oak-park.us"
"502","William 'Bill' D. McLeod","Hoffman Estates, IL","847-781-2604","bill.mcleod@hoffmanestates.org"
"503","Bob Barnett","Downers Grove, IL","630-493-8807","rtbarnett@downers.us"
"504","James R. Patterson Jr.","Glenview, IL","847-904-4370","jpatterson@glenview.il.us"
"505","Steven M. Morley","Elmhurst, IL","630-530-3010","cityadmin@elmhurst.org"
"506","Keith T. Giagnorio","Lombard, IL","630-620-5710","giagnoriok@villageoflombard.org"
"507","Michael P. Collins","Plainfield, IL","815-436-7093","mcollins@goplainfield.com"
"508","Jerry Smith","DeKalb, IL","815-748-2099","jerry.smith@cityofdekalb.com"
"509","Diane W. Marlin","Urbana, IL","217-384-2456","dwmarlin@urbanaillinois.us"
"510","Stephanie Acri","Moline, IL","309-524-2001","sacri@moline.il.us"
"511","Mark Eckert","Belleville, IL","618-233-6810","meckert@belleville.net"
"512","Kevin Wallace","Bartlett, IL","630-837-0800","kwallace@vbartlett.org"
"513","Beverly Sussman","Buffalo Grove, IL","847-459-2525","bsussman@vbg.org"
"514","Kyle A. Moore","Quincy, IL","217-228-4545","mayor@quincyil.gov"
"515","Aaron T. Shepley","Crystal Lake, IL","815-459-2020","comments@crystallake.org"
"516","John D. Noak","Romeoville, IL","815-886-7200","jnoak@romeoville.org"
"517","Frank Saverino","Carol Stream, IL","630-871-6250","fsaverino@carolstream.org"
"518","Billie D. Roth","Streamwood, IL","630-736-3800","mayor@streamwood.org"
"519","Patrick Horcher","Wheeling, IL","847-499-9095","phorcher@wheelingil.gov"
"520","Rodney S. Craig","Hanover Park, IL","630-372-4201","rcraig@hpil.org"
"521","John M. Skillman","Carpentersville, IL","224-293-1654","jmskillman@cville.org"
"522","Mike Thoms","Rock Island, IL","309-732-2012","rimayor@rigov.org"
"523","Marty Maloney","Park Ridge, IL","847-318-5200","martymaloney@gmail.com"
"524","Rich Veenstra","Addison, IL","630-693-7502","mayor@addison-il.org"
"525","Michelle Markiewicz Qualkinbush","Calumet City, IL","708-891-8105","mayormichelle@calumetcity.org"
"526","Troy T. Parlier","Oswego, IL","630-554-1555","tparlier@oswegoil.org"
"527","Linda Jackson","Glendale Heights, IL","630-260-6000x5302","ljackson@glendaleheights.org"
"528","Gina Cunningham-Picek","Woodridge, IL","630-719-4706","gcunningham@vil.woodridge.il.us"
"529","Sandra E. Frum","Northbrook, IL","847-272-5050","frum@northbrook.il.us"
"530","Raymond P. Rogina","St. Charles, IL","630-377-4445","mayor@stcharlesil.gov"
"531","Craig B. Johnson","Elk Grove Village, IL","847-439-3900","cjohnson@elkgrove.org"
"532","Mark Luft","Pekin, IL","309-264-5517","mluft@ci.pekin.il.us"
"533","Steve Lentz","Mundelein, IL","847-949-3209","slentz@mundelein.org"
"534","John Schmitt","Algonquin, IL","847-658-2700","johnschmitt@algonquin.org"
"535","Rickey Williams Jr","Danville, IL","217-431-2200","mayor@cityofdanville.org"
"536","Kristina Kovarik","Gurnee, IL","847-599-7500","mayor@village.gurnee.il.us"
"537","John Pritchard","Galesburg, IL","309-344-2634","jpritchard@ci.galesburg.il.us"
"538","Leon Rockingham Jr.","North Chicago, IL","847-596-8610","leoroc@northchicago.org"
"539","Nancy Rodkin Rotering","Highland Park, IL","847-926-1009","nrotering@cityhpil.com"
"540","David A. Gonzalez","Chicago Heights, IL","708-756-5315","dgonzalez@chicagoheights.net"
"541","Ron J. Gunter","Westmont, IL","630-981-6201","rgunter@westmont.il.gov"
"542","Christopher R. Pecak","Lisle, IL","630-271-4118","cpecak@villageoflisle.org"
"543","Riley H. Rogers","Dolton, IL","708-201-3270","rrogers@vodolton.org"
"544","Michael J. Inman","Macomb, IL","309-833-2558","mayor@macomb.com"
"545","Sheila Y. Chalmers-Currin","Matteson, IL","708-283-4911","schalmers-currin@villageofmatteson.org"
"546","Vernard L. Alsberry Jr.","Hazel Crest, IL","708-335-9600","valsberry@villageofhazelcrest.com"
"547","David Brummel","Warrenville, IL","630-393-5741","davidbrummel@warrenville.il.us"
"548","Tom Gray","Chatham, IL","217-483-2451","tgray@chathamil.net"
"549","Cathy Adduci","River Forest, IL","708-366-8500","cadduci@vrf.us"
"550","Karen Darch","Barrington, IL","847-304-3444","kdarch@barrington-il.gov"
"551","Kevin C. Richardson","Lake Barrington, IL","847-381-6010","krichardson@heartlandsolutionsgroup.com"
"552","Jason Ashmore","Sesser, IL","618-625-3611","mayor@sesser.org"
"553","Joseph 'Joe' H. Hogsett","Indianapolis, IN","317-327-3601","julie.marvel@indy.gov"
"554","Thomas 'Tom' C. Henry","Fort Wayne, IN","260-427-1111","mayor@cityoffortwayne.org"
"555","Lloyd W. Winnecke","Evansville, IN","812-436-4962","mayor@evansvillegov.org"
"556","James Mueller","South Bend, IN","574-233-0311","jmueller@southbendin.gov"
"557","James Brainard","Carmel, IN","317-571-2401","jbrainard@carmel.in.gov"
"558","Scott Fadness","Fishers, IN","317-595-3111","fadnesss@fishers.in.us"
"559","John Hamilton","Bloomington, IN","812-349-3406","mayor@bloomington.in.gov"
"560","Thomas M. McDermott Jr.","Hammond, IN","219-853-6301","mayor@gohammond.com"
"561","Jerome A. Prince","Gary, IN","219-881-1302","jprince@ci.gary.in.us"
"562","Tony Roswarski","Lafayette, IN","765-807-1002","troswarski@lafayette.in.gov"
"563","Dan Ridenour","Muncie, IN","765-747-4845","mayor@cityofmuncie.com"
"564","Chris Jensen","Noblesville, IN","317-776-6324","mglodowski@noblesville.in.us"
"565","Duke A. Bennett","Terre Haute, IN","812-244-2303","mayor@terrehaute.in.gov"
"566","Mark W. Myers","Greenwood, IN","317-887-5000","mayor@greenwood.in.gov"
"567","Tyler Moore","Kokomo, IN","765-456-7444","mayor@cityofkokomo.org"
"568","Thomas Broderick Jr.","Anderson, IN","765-648-6000","mayorbroderick@cityofanderson.com"
"569","Rod Roberson","Elkhart, IN","574-293-8968","rod.roberson@coei.org"
"570","Dave Wood","Mishawaka, IN","574-258-1601","mayor@mishawaka.in.gov"
"571","Steve Collier","Lawrence, IN","317-545-6191","scollier@cityoflawrence.org"
"572","John R. Dennis","West Lafayette, IN","765-775-5102","mayor@westlafayette.in.gov"
"573","Jim Lienhoop","Columbus, IN","812-376-2500","mayor@columbus.in.gov"
"574","Mike Moore","Jeffersonville, IN","812-285-6400","mmoore@cityofjeff.net"
"575","Andy Cook","Westfield, IN","317-804-3001","acook@westfield.in.gov"
"576","Sue Lynch","Portage, IN","219-762-5425","slynch@portage-in.com"
"577","Jeff M. Gahan","New Albany, IN","812-948-5333","mayor@cityofnewalbany.com"
"578","Dave Snow","Richmond, IN","765-983-7207","mayor@richmondindiana.gov"
"579","Richard Hardaway","Merrillville, IN","219-769-5711","rhardaway@merrillville.in.gov"
"580","Matt Murphy","Valparaiso, IN","219-462-1161","mayormurphy@valpo.us"
"581","Jeremy Stutsman","Goshen, IN","574-533-9322","mayor@goshencity.com"
"582","Duane Parry","Michigan City, IN","219-873-1400","dparry@emichigancity.com"
"583","David D.F. Uran","Crown Point, IN","(219) 662-3250","webmaster@crownpoint.in.gov"
"584","Jess Alumbaugh","Marion, IN","756-662-9931","jalumbaugh@marionindiana.us"
"585","T.M. 'Frank' Franklin Cownie","Des Moines, IA","515-283-4944","fcownie@dmgov.org"
"586","Brad Hart","Cedar Rapids, IA","319-286-5051","b.hart@cedar-rapids.org"
"587","Mike Matson","Davenport, IA","563-326-7701","mike.matson@davenportiowa.com"
"588","Bob Scott","Sioux City, IA","712-279-6136","bob@rescottco.com"
"589","Bruce Teague","Iowa City, IA","319-536-1200","bruce-teague@iowa-city.org"
"590","Quentin M. Hart","Waterloo, IA","319-291-4301","mayor@waterloo-ia.org"
"591","John Haila","Ames, IA","515-292-9428","jhaila@city.ames.ia.us"
"592","Steven K. Gaer","West Des Moines, IA","515-974-5261","steve.gaer@wdm.iowa.gov"
"593","Gary Lorenz","Ankeny, IA","515-965-6400","glorenz@ankenyiowa.gov"
"594","Matt Walsh","Council Bluffs, IA","712-328-4601","mayor@councilbluffs-ia.gov"
"595","Roy D. Buol","Dubuque, IA","563-564-5455","rdbuol@cityofdubuque.org"
"596","Bob Andeweg","Urbandale, IA","515-276-2434","bandeweg@urbandale.org"
"597","Rob Green","Cedar Falls, IA","319-268-5118","rob.green@cedarfalls.com"
"598","Nicolas AbouAssaly","Marion, IA","319-743-6301","mayor@cityofmarion.org"
"599","Robert Gallagher Jr.","Bettendorf, IA","563-344-4014","bgallagher@bettendorf.org"
"600","Quinton Lucas","Kansas City, MO","816-513-3500","quinton.lucas@kcmo.org"
"601","Brandon Whipple","Wichita, KS","316-268-4331","bwhipple@wichita.gov"
"602","Frank D. Scott Jr.","Little Rock, AR","501-371-4744","mayorscott@littlerock.gov"
"603","Carl R. Gerlach","Overland Park, KS","913-895-6000","carl.gerlach@opkansas.org"
"604","David Alvey","Kansas City, KS","913-573-5010","dalvey@wycokck.org"
"605","Michael Copeland","Olathe, KS","913-971-8500","mcopeland@olatheks.org"
"606","Michelle De La Isla","Topeka, KS","785-368-3710","mayor@topeka.org"
"607","Jennifer Ananda","Lawrence, KS","785-840-8255","jananda@lawrenceks.org"
"608","George B. McGill","Fort Smith, AR","479-784-2437","mayor@fortsmithar.gov"
"609","Lioneld Jordan","Fayetteville, AR","479-575-8330","mayor@fayetteville-ar.gov"
"610","Doug Sprouse","Springdale, AR","479-750-8114","dsprouse@springdalear.gov"
"611","Harold Perrin","Jonesboro, AR","870-932-1052","hperrin@jonesboro.org"
"612","Greg Hines","Rogers, AR","479-621-1117","ghines@rogersar.gov"
"613","Bart Castleberry","Conway, AR","501-450-6110","mayor@cityofconway.org"
"614","Joe A. Smith","North Little Rock, AR","501-975-8601","mayor@nlr.ar.gov"
"615","Michelle Distler","Shawnee, KS","913-631-2500","mdistler@cityofshawnee.org"
"616","Michael A. Boehm","Lenexa, KS","913-477.7567","mboehm@lenexa.com"
"617","Usha Reddi","Manhattan, KS","785-587-2404","ureddi@cityofmhk.com"
"618","Stephanie Orman","Bentonville, AR","479-271-3112","sorman@bentonvillear.com"
"619","Mike Hoppock","Salina, KS","785-309-5700","citycommission@salina.org"
"620","Shirley Washington","Pine Bluff, AR","870-730-2000","mayor@cityofpinebluff.com"
"621","Jade Piros de Carvalho","Hutchinson, KS","620-200-1167","jade.pirosdecarvalho@hutchgov.com"
"622","Pat McCabe","Hot Springs, AR","501-276-1409","pmccabe@levihospital.com"
"623","Tom Farmer","Benton, AR","501-776-5906","info@bentonar.org"
"624","Myron Griswold","Leavenworth, KS","913-240-1295","mgriswold@firstcity.org"
"625","Peggy J. Dunn","Leawood, KS","913-663-9101","peggyd@leawood.org"
"626","Virginia Hillman Young","Sherwood, AR","501-835-6620","vyoung@cityofsherwood.net"
"627","Allen L. Brown","Texarkana, AR","870-773-1923","ab@allenbrownmayor.com"
"628","Peter Christie","Bella Vista, AR","","pchristie@bellavistaar.gov"
"629","Greg Fischer","Louisville, KY","502-574-2003","greg.fischer@louisvilleky.gov"
"630","Linda Gorton","Lexington, KY","859-258-3100","mayor@lexingtonky.gov"
"631","Bruce Wilkerson","Bowling Green, KY","270-392-0817","bruce.wilkerson@bgky.org"
"632","Tom Watson","Owensboro, KY","270-687-8561","mayor@owensboro.org"
"633","Joseph U. Meyer","Covington, KY","859-292-2334","jumeyer@covingtonky.gov"
"634","Robert R. Blythe","Richmond, KY","859-623-1000","rblythe@richmond.ky.us"
"635","Tom Prather","Georgetown, KY","502-863-9800","arlene.wilson@georgetownky.gov"
"636","Diane E. Whalen","Florence, KY","859-647-8177","diane.whalen@florence-ky.gov"
"637","Carter Hendricks","Hopkinsville, KY","270-890-0200","chendricks@hopkinsvilleky.us"
"638","Jeff Gregory","Elizabethtown, KY","(270) 765-6121","jeff.gregory@elizabethtownky.gov"
"639","William May","Frankfort, KY","502-875-8500","william.may59@gmail.com"
